REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMCOMKER,2021,10.8
REGION1,DEMCOMKER,2022,11.0
REGION1,DEMCOMKER,2023,11.17
REGION1,DEMCOMKER,2024,11.33
REGION1,DEMCOMKER,2025,11.48
REGION1,DEMCOMKER,2026,11.65
REGION1,DEMCOMKER,2027,11.83
REGION1,DEMCOMKER,2028,12.03
REGION1,DEMCOMKER,2029,12.23
REGION1,DEMCOMKER,2030,12.41
REGION1,DEMCOMKER,2031,12.57
REGION1,DEMCOMKER,2032,12.73
REGION1,DEMCOMKER,2033,12.87
REGION1,DEMCOMKER,2034,13.02
REGION1,DEMCOMKER,2035,13.16
REGION1,DEMCOMKER,2036,13.29
REGION1,DEMCOMKER,2037,13.4
REGION1,DEMCOMKER,2038,13.51
REGION1,DEMCOMKER,2039,13.6
REGION1,DEMCOMKER,2040,13.7
REGION1,DEMCOMKER,2041,14.196
REGION1,DEMCOMKER,2042,14.384
REGION1,DEMCOMKER,2043,14.573
REGION1,DEMCOMKER,2044,14.761
REGION1,DEMCOMKER,2045,14.949
REGION1,DEMCOMKER,2046,15.137
REGION1,DEMCOMKER,2047,15.325
REGION1,DEMCOMKER,2048,15.513
REGION1,DEMCOMKER,2049,15.701
REGION1,DEMCOMKER,2050,15.89
REGION1,DEMCOMBIO,2020,0.12
REGION1,DEMCOMBIO,2021,0.17
REGION1,DEMCOMBIO,2022,0.22
REGION1,DEMCOMBIO,2023,0.26
REGION1,DEMCOMBIO,2024,0.31
REGION1,DEMCOMBIO,2025,0.35
REGION1,DEMCOMBIO,2026,0.4
REGION1,DEMCOMBIO,2027,0.45
REGION1,DEMCOMBIO,2028,0.49
REGION1,DEMCOMBIO,2029,0.54
REGION1,DEMCOMBIO,2030,0.58
REGION1,DEMCOMBIO,2031,0.63
REGION1,DEMCOMBIO,2032,0.67
REGION1,DEMCOMBIO,2033,0.71
REGION1,DEMCOMBIO,2034,0.75
REGION1,DEMCOMBIO,2035,0.79
REGION1,DEMCOMBIO,2036,0.83
REGION1,DEMCOMBIO,2037,0.86
REGION1,DEMCOMBIO,2038,0.9
REGION1,DEMCOMBIO,2039,0.93
REGION1,DEMCOMBIO,2040,0.97
REGION1,DEMCOMBIO,2041,0.915
REGION1,DEMCOMBIO,2042,0.947
REGION1,DEMCOMBIO,2043,0.978
REGION1,DEMCOMBIO,2044,1.009
REGION1,DEMCOMBIO,2045,1.041
REGION1,DEMCOMBIO,2046,1.072
REGION1,DEMCOMBIO,2047,1.104
REGION1,DEMCOMBIO,2048,1.135
REGION1,DEMCOMBIO,2049,1.167
REGION1,DEMCOMBIO,2050,1.198
REGION1,DEMCOMNGS,2020,84.05
REGION1,DEMCOMNGS,2021,84.1
REGION1,DEMCOMNGS,2022,84.04
REGION1,DEMCOMNGS,2023,84.11
REGION1,DEMCOMNGS,2024,84.63
REGION1,DEMCOMNGS,2025,85.66
REGION1,DEMCOMNGS,2026,87.17
REGION1,DEMCOMNGS,2027,88.55
REGION1,DEMCOMNGS,2028,89.37
REGION1,DEMCOMNGS,2029,90.42
REGION1,DEMCOMNGS,2030,91.68
REGION1,DEMCOMNGS,2031,93.23
REGION1,DEMCOMNGS,2032,94.27
REGION1,DEMCOMNGS,2033,94.98
REGION1,DEMCOMNGS,2034,95.63
REGION1,DEMCOMNGS,2035,96.34
REGION1,DEMCOMNGS,2036,96.95
REGION1,DEMCOMNGS,2037,97.44
REGION1,DEMCOMNGS,2038,97.93
REGION1,DEMCOMNGS,2039,98.42
REGION1,DEMCOMNGS,2040,98.92
REGION1,DEMCOMNGS,2041,102.236
REGION1,DEMCOMNGS,2042,103.262
REGION1,DEMCOMNGS,2043,104.288
REGION1,DEMCOMNGS,2044,105.313
REGION1,DEMCOMNGS,2045,106.339
REGION1,DEMCOMNGS,2046,107.364
REGION1,DEMCOMNGS,2047,108.39
REGION1,DEMCOMNGS,2048,109.415
REGION1,DEMCOMNGS,2049,110.441
REGION1,DEMCOMNGS,2050,111.467
REGION1,DEMCOMELCB02,2020,57.0
REGION1,DEMCOMELCB02,2021,58.29
REGION1,DEMCOMELCB02,2022,59.36
REGION1,DEMCOMELCB02,2023,60.24
REGION1,DEMCOMELCB02,2024,60.96
REGION1,DEMCOMELCB02,2025,61.69
REGION1,DEMCOMELCB02,2026,62.53
REGION1,DEMCOMELCB02,2027,63.4
REGION1,DEMCOMELCB02,2028,64.11
REGION1,DEMCOMELCB02,2029,64.88
REGION1,DEMCOMELCB02,2030,65.62
REGION1,DEMCOMELCB02,2031,66.18
REGION1,DEMCOMELCB02,2032,66.73
REGION1,DEMCOMELCB02,2033,67.41
REGION1,DEMCOMELCB02,2034,67.85
REGION1,DEMCOMELCB02,2035,68.27
REGION1,DEMCOMELCB02,2036,68.69
REGION1,DEMCOMELCB02,2037,69.07
REGION1,DEMCOMELCB02,2038,69.54
REGION1,DEMCOMELCB02,2039,69.96
REGION1,DEMCOMELCB02,2040,70.4
REGION1,DEMCOMELCB02,2041,70.971
REGION1,DEMCOMELCB02,2042,71.441
REGION1,DEMCOMELCB02,2043,71.91
REGION1,DEMCOMELCB02,2044,72.379
REGION1,DEMCOMELCB02,2045,72.848
REGION1,DEMCOMELCB02,2046,73.317
REGION1,DEMCOMELCB02,2047,73.787
REGION1,DEMCOMELCB02,2048,74.256
REGION1,DEMCOMELCB02,2049,74.725
REGION1,DEMCOMELCB02,2050,75.194
REGION1,DEMAGRDSL,2020,14.88
REGION1,DEMAGRDSL,2021,15.618
REGION1,DEMAGRDSL,2022,16.267
REGION1,DEMAGRDSL,2023,16.652
REGION1,DEMAGRDSL,2024,17.594
REGION1,DEMAGRDSL,2025,18.141
REGION1,DEMAGRDSL,2026,18.766
REGION1,DEMAGRDSL,2027,19.43
REGION1,DEMAGRDSL,2028,20.135
REGION1,DEMAGRDSL,2029,20.724
REGION1,DEMAGRDSL,2030,21.4
REGION1,DEMAGRDSL,2031,22.06
REGION1,DEMAGRDSL,2032,22.707
REGION1,DEMAGRDSL,2033,23.349
REGION1,DEMAGRDSL,2034,24.015
REGION1,DEMAGRDSL,2035,24.662
REGION1,DEMAGRDSL,2036,25.313
REGION1,DEMAGRDSL,2037,25.966
REGION1,DEMAGRDSL,2038,26.621
REGION1,DEMAGRDSL,2039,27.27
REGION1,DEMAGRDSL,2040,27.924
REGION1,DEMAGRDSL,2041,28.576
REGION1,DEMAGRDSL,2042,29.228
REGION1,DEMAGRDSL,2043,29.88
REGION1,DEMAGRDSL,2044,30.533
REGION1,DEMAGRDSL,2045,31.185
REGION1,DEMAGRDSL,2046,31.837
REGION1,DEMAGRDSL,2047,32.49
REGION1,DEMAGRDSL,2048,33.142
REGION1,DEMAGRDSL,2049,33.794
REGION1,DEMAGRDSL,2050,34.447
REGION1,DEMTRAGSL,2020,153.58
REGION1,DEMTRAGSL,2021,150.89
REGION1,DEMTRAGSL,2022,148.2
REGION1,DEMTRAGSL,2023,145.36
REGION1,DEMTRAGSL,2024,142.73
REGION1,DEMTRAGSL,2025,140.26
REGION1,DEMTRAGSL,2026,138.06
REGION1,DEMTRAGSL,2027,135.99
REGION1,DEMTRAGSL,2028,133.81
REGION1,DEMTRAGSL,2029,131.41
REGION1,DEMTRAGSL,2030,129.0
REGION1,DEMTRAGSL,2031,126.44
REGION1,DEMTRAGSL,2032,123.86
REGION1,DEMTRAGSL,2033,120.91
REGION1,DEMTRAGSL,2034,117.76
REGION1,DEMTRAGSL,2035,114.46
REGION1,DEMTRAGSL,2036,111.02
REGION1,DEMTRAGSL,2037,107.49
REGION1,DEMTRAGSL,2038,103.88
REGION1,DEMTRAGSL,2039,100.22
REGION1,DEMTRAGSL,2040,96.6
REGION1,DEMTRAGSL,2041,95.561
REGION1,DEMTRAGSL,2042,92.581
REGION1,DEMTRAGSL,2043,89.602
REGION1,DEMTRAGSL,2044,86.623
REGION1,DEMTRAGSL,2045,83.644
REGION1,DEMTRAGSL,2046,80.665
REGION1,DEMTRAGSL,2047,77.686
REGION1,DEMTRAGSL,2048,74.706
REGION1,DEMTRAGSL,2049,71.727
REGION1,DEMTRAGSL,2050,68.748
REGION1,DEMTRADSL,2020,98.81
REGION1,DEMTRADSL,2021,97.58
REGION1,DEMTRADSL,2022,96.06
REGION1,DEMTRADSL,2023,94.79
REGION1,DEMTRADSL,2024,93.85
REGION1,DEMTRADSL,2025,93.41
REGION1,DEMTRADSL,2026,93.19
REGION1,DEMTRADSL,2027,93.07
REGION1,DEMTRADSL,2028,92.45
REGION1,DEMTRADSL,2029,91.89
REGION1,DEMTRADSL,2030,91.47
REGION1,DEMTRADSL,2031,91.0
REGION1,DEMTRADSL,2032,90.19
REGION1,DEMTRADSL,2033,89.62
REGION1,DEMTRADSL,2034,88.96
REGION1,DEMTRADSL,2035,88.29
REGION1,DEMTRADSL,2036,87.06
REGION1,DEMTRADSL,2037,86.44
REGION1,DEMTRADSL,2038,85.86
REGION1,DEMTRADSL,2039,85.32
REGION1,DEMTRADSL,2040,84.86
REGION1,DEMTRADSL,2041,84.184
REGION1,DEMTRADSL,2042,83.544
REGION1,DEMTRADSL,2043,82.903
REGION1,DEMTRADSL,2044,82.262
REGION1,DEMTRADSL,2045,81.621
REGION1,DEMTRADSL,2046,80.98
REGION1,DEMTRADSL,2047,80.339
REGION1,DEMTRADSL,2048,79.698
REGION1,DEMTRADSL,2049,79.058
REGION1,DEMTRADSL,2050,78.417
REGION1,DEMTRAHFO,2020,10.69
REGION1,DEMTRAHFO,2021,10.45
REGION1,DEMTRAHFO,2022,10.2
REGION1,DEMTRAHFO,2023,9.96
REGION1,DEMTRAHFO,2024,9.75
REGION1,DEMTRAHFO,2025,9.59
REGION1,DEMTRAHFO,2026,9.45
REGION1,DEMTRAHFO,2027,9.33
REGION1,DEMTRAHFO,2028,9.2
REGION1,DEMTRAHFO,2029,9.06
REGION1,DEMTRAHFO,2030,8.93
REGION1,DEMTRAHFO,2031,8.81
REGION1,DEMTRAHFO,2032,8.72
REGION1,DEMTRAHFO,2033,8.6
REGION1,DEMTRAHFO,2034,8.49
REGION1,DEMTRAHFO,2035,8.38
REGION1,DEMTRAHFO,2036,8.29
REGION1,DEMTRAHFO,2037,8.2
REGION1,DEMTRAHFO,2038,8.12
REGION1,DEMTRAHFO,2039,8.06
REGION1,DEMTRAHFO,2040,8.01
REGION1,DEMTRAHFO,2041,7.799
REGION1,DEMTRAHFO,2042,7.694
REGION1,DEMTRAHFO,2043,7.588
REGION1,DEMTRAHFO,2044,7.482
REGION1,DEMTRAHFO,2045,7.377
REGION1,DEMTRAHFO,2046,7.271
REGION1,DEMTRAHFO,2047,7.166
REGION1,DEMTRAHFO,2048,7.06
REGION1,DEMTRAHFO,2049,6.955
REGION1,DEMTRAHFO,2050,6.849
REGION1,DEMTRAJFL,2020,39.54
REGION1,DEMTRAJFL,2021,38.89
REGION1,DEMTRAJFL,2022,38.61
REGION1,DEMTRAJFL,2023,38.53
REGION1,DEMTRAJFL,2024,38.73
REGION1,DEMTRAJFL,2025,39.17
REGION1,DEMTRAJFL,2026,39.68
REGION1,DEMTRAJFL,2027,40.21
REGION1,DEMTRAJFL,2028,40.63
REGION1,DEMTRAJFL,2029,40.96
REGION1,DEMTRAJFL,2030,41.33
REGION1,DEMTRAJFL,2031,41.69
REGION1,DEMTRAJFL,2032,42.11
REGION1,DEMTRAJFL,2033,42.41
REGION1,DEMTRAJFL,2034,42.69
REGION1,DEMTRAJFL,2035,42.96
REGION1,DEMTRAJFL,2036,43.23
REGION1,DEMTRAJFL,2037,43.52
REGION1,DEMTRAJFL,2038,43.82
REGION1,DEMTRAJFL,2039,44.15
REGION1,DEMTRAJFL,2040,44.49
REGION1,DEMTRAJFL,2041,44.896
REGION1,DEMTRAJFL,2042,45.226
REGION1,DEMTRAJFL,2043,45.556
REGION1,DEMTRAJFL,2044,45.886
REGION1,DEMTRAJFL,2045,46.215
REGION1,DEMTRAJFL,2046,46.545
REGION1,DEMTRAJFL,2047,46.875
REGION1,DEMTRAJFL,2048,47.204
REGION1,DEMTRAJFL,2049,47.534
REGION1,DEMTRAJFL,2050,47.864
REGION1,DEMTRABIO,2020,23.33
REGION1,DEMTRABIO,2021,23.0
REGION1,DEMTRABIO,2022,22.67
REGION1,DEMTRABIO,2023,22.33
REGION1,DEMTRABIO,2024,22.04
REGION1,DEMTRABIO,2025,21.82
REGION1,DEMTRABIO,2026,21.65
REGION1,DEMTRABIO,2027,21.51
REGION1,DEMTRABIO,2028,21.34
REGION1,DEMTRABIO,2029,21.14
REGION1,DEMTRABIO,2030,20.95
REGION1,DEMTRABIO,2031,20.75
REGION1,DEMTRABIO,2032,20.57
REGION1,DEMTRABIO,2033,20.34
REGION1,DEMTRABIO,2034,20.08
REGION1,DEMTRABIO,2035,19.81
REGION1,DEMTRABIO,2036,19.53
REGION1,DEMTRABIO,2037,19.25
REGION1,DEMTRABIO,2038,18.97
REGION1,DEMTRABIO,2039,18.7
REGION1,DEMTRABIO,2040,18.44
REGION1,DEMTRABIO,2041,18.334
REGION1,DEMTRABIO,2042,18.101
REGION1,DEMTRABIO,2043,17.867
REGION1,DEMTRABIO,2044,17.634
REGION1,DEMTRABIO,2045,17.4
REGION1,DEMTRABIO,2046,17.167
REGION1,DEMTRABIO,2047,16.934
REGION1,DEMTRABIO,2048,16.7
REGION1,DEMTRABIO,2049,16.467
REGION1,DEMTRABIO,2050,16.233
REGION1,DEMTRANGS,2020,1.8
REGION1,DEMTRANGS,2021,2.04
REGION1,DEMTRANGS,2022,2.6
REGION1,DEMTRANGS,2023,2.86
REGION1,DEMTRANGS,2024,3.17
REGION1,DEMTRANGS,2025,3.55
REGION1,DEMTRANGS,2026,3.97
REGION1,DEMTRANGS,2027,4.43
REGION1,DEMTRANGS,2028,5.16
REGION1,DEMTRANGS,2029,5.58
REGION1,DEMTRANGS,2030,6.04
REGION1,DEMTRANGS,2031,6.51
REGION1,DEMTRANGS,2032,7.6
REGION1,DEMTRANGS,2033,8.08
REGION1,DEMTRANGS,2034,8.57
REGION1,DEMTRANGS,2035,9.08
REGION1,DEMTRANGS,2036,10.15
REGION1,DEMTRANGS,2037,10.73
REGION1,DEMTRANGS,2038,11.35
REGION1,DEMTRANGS,2039,12.04
REGION1,DEMTRANGS,2040,12.79
REGION1,DEMTRANGS,2041,13.207
REGION1,DEMTRANGS,2042,13.84
REGION1,DEMTRANGS,2043,14.474
REGION1,DEMTRANGS,2044,15.108
REGION1,DEMTRANGS,2045,15.741
REGION1,DEMTRANGS,2046,16.375
REGION1,DEMTRANGS,2047,17.008
REGION1,DEMTRANGS,2048,17.642
REGION1,DEMTRANGS,2049,18.275
REGION1,DEMTRANGS,2050,18.909
REGION1,DEMTRALPG,2020,2.66
REGION1,DEMTRALPG,2021,2.72
REGION1,DEMTRALPG,2022,2.79
REGION1,DEMTRALPG,2023,2.86
REGION1,DEMTRALPG,2024,2.91
REGION1,DEMTRALPG,2025,2.96
REGION1,DEMTRALPG,2026,3.02
REGION1,DEMTRALPG,2027,3.07
REGION1,DEMTRALPG,2028,3.13
REGION1,DEMTRALPG,2029,3.17
REGION1,DEMTRALPG,2030,3.2
REGION1,DEMTRALPG,2031,3.21
REGION1,DEMTRALPG,2032,3.2
REGION1,DEMTRALPG,2033,3.16
REGION1,DEMTRALPG,2034,3.11
REGION1,DEMTRALPG,2035,3.03
REGION1,DEMTRALPG,2036,2.93
REGION1,DEMTRALPG,2037,2.81
REGION1,DEMTRALPG,2038,2.68
REGION1,DEMTRALPG,2039,2.52
REGION1,DEMTRALPG,2040,2.35
REGION1,DEMTRALPG,2041,2.603
REGION1,DEMTRALPG,2042,2.557
REGION1,DEMTRALPG,2043,2.511
REGION1,DEMTRALPG,2044,2.464
REGION1,DEMTRALPG,2045,2.418
REGION1,DEMTRALPG,2046,2.372
REGION1,DEMTRALPG,2047,2.326
REGION1,DEMTRALPG,2048,2.279
REGION1,DEMTRALPG,2049,2.233
REGION1,DEMTRALPG,2050,2.187
REGION1,DEMTRAELCB02,2020,1.24
REGION1,DEMTRAELCB02,2021,1.62
REGION1,DEMTRAELCB02,2022,2.08
REGION1,DEMTRAELCB02,2023,2.64
REGION1,DEMTRAELCB02,2024,3.26
REGION1,DEMTRAELCB02,2025,4.06
REGION1,DEMTRAELCB02,2026,4.87
REGION1,DEMTRAELCB02,2027,5.73
REGION1,DEMTRAELCB02,2028,6.61
REGION1,DEMTRAELCB02,2029,7.59
REGION1,DEMTRAELCB02,2030,8.69
REGION1,DEMTRAELCB02,2031,9.9
REGION1,DEMTRAELCB02,2032,11.25
REGION1,DEMTRAELCB02,2033,12.81
REGION1,DEMTRAELCB02,2034,14.36
REGION1,DEMTRAELCB02,2035,16.04
REGION1,DEMTRAELCB02,2036,17.85
REGION1,DEMTRAELCB02,2037,19.79
REGION1,DEMTRAELCB02,2038,21.92
REGION1,DEMTRAELCB02,2039,24.15
REGION1,DEMTRAELCB02,2040,26.42
REGION1,DEMTRAELCB02,2041,27.295
REGION1,DEMTRAELCB02,2042,29.069
REGION1,DEMTRAELCB02,2043,30.843
REGION1,DEMTRAELCB02,2044,32.616
REGION1,DEMTRAELCB02,2045,34.39
REGION1,DEMTRAELCB02,2046,36.164
REGION1,DEMTRAELCB02,2047,37.937
REGION1,DEMTRAELCB02,2048,39.711
REGION1,DEMTRAELCB02,2049,41.485
REGION1,DEMTRAELCB02,2050,43.259
REGION1,DEMPWRSURBC1,2024,0.13023156
REGION1,DEMPWRWND,2020,196.81429
REGION1,DEMPWRWND,2021,210.08401
REGION1,DEMPWRWND,2022,222.94713
REGION1,DEMPWRWND,2023,236.88218
REGION1,DEMPWRWND,2024,239.27808
