REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,INFLOW01,16,2023,0.3408587238096153
REGION1,INFLOW01,17,2023,0.32342285095888
REGION1,INFLOW01,18,2023,0.278680506072704
REGION1,INFLOW01,19,2023,0.1830849507888691
REGION1,INFLOW01,20,2023,0.194332923945326
REGION1,INFLOW01,21,2023,0.2085560909332129
REGION1,INFLOW01,22,2023,0.2044990049841596
REGION1,INFLOW01,23,2023,0.1942865257507355
REGION1,INFLOW01,24,2023,0.1899025096021168
REGION1,INFLOW01,1,2024,0.3471608387302253
REGION1,INFLOW01,2,2024,0.3474527380703203
REGION1,INFLOW01,3,2024,0.3466789229391492
REGION1,INFLOW01,4,2024,0.3431259222873303
REGION1,INFLOW01,5,2024,0.3426012314344719
REGION1,INFLOW01,6,2024,0.3412381195845609
REGION1,INFLOW01,7,2024,0.3407973915644017
REGION1,INFLOW01,8,2024,0.3384393371538855
REGION1,INFLOW01,9,2024,0.3356684813724622
REGION1,INFLOW01,10,2024,0.3321709210400696
REGION1,INFLOW01,11,2024,0.3349326162712744
REGION1,INFLOW01,12,2024,0.3341480790161827
REGION1,INFLOW01,13,2024,0.3534913537710646
REGION1,INFLOW01,14,2024,0.3531781579810054
REGION1,INFLOW01,15,2024,0.3348397015771438
REGION1,INFLOW01,16,2024,0.3408587238096153
REGION1,INFLOW01,17,2024,0.32342285095888
REGION1,INFLOW01,18,2024,0.278680506072704
REGION1,INFLOW01,19,2024,0.1830849507888691
REGION1,INFLOW01,20,2024,0.194332923945326
REGION1,INFLOW01,21,2024,0.2085560909332129
REGION1,INFLOW01,22,2024,0.2044990049841596
REGION1,INFLOW01,23,2024,0.1942865257507355
REGION1,INFLOW01,24,2024,0.1899025096021168
REGION1,INFLOW01,1,2025,0.3471608387302253
REGION1,INFLOW01,2,2025,0.3474527380703203
REGION1,INFLOW01,3,2025,0.3466789229391492
REGION1,INFLOW01,4,2025,0.3431259222873303
REGION1,INFLOW01,5,2025,0.3426012314344719
REGION1,INFLOW01,6,2025,0.3412381195845609
REGION1,INFLOW01,7,2025,0.3407973915644017
REGION1,INFLOW01,8,2025,0.3384393371538855
REGION1,INFLOW01,9,2025,0.3356684813724622
REGION1,INFLOW01,10,2025,0.3321709210400696
REGION1,INFLOW01,11,2025,0.3349326162712744
REGION1,INFLOW01,12,2025,0.3341480790161827
REGION1,INFLOW01,13,2025,0.3534913537710646
REGION1,INFLOW01,14,2025,0.3531781579810054
REGION1,INFLOW01,15,2025,0.3348397015771438
REGION1,INFLOW01,16,2025,0.3408587238096153
REGION1,INFLOW01,17,2025,0.32342285095888
REGION1,INFLOW01,18,2025,0.278680506072704
REGION1,INFLOW01,19,2025,0.1830849507888691
REGION1,INFLOW01,20,2025,0.194332923945326
REGION1,INFLOW01,21,2025,0.2085560909332129
REGION1,INFLOW01,22,2025,0.2044990049841596
REGION1,INFLOW01,23,2025,0.1942865257507355
REGION1,INFLOW01,24,2025,0.1899025096021168
REGION1,INFLOW01,1,2026,0.3471608387302253
REGION1,INFLOW01,2,2026,0.3474527380703203
REGION1,INFLOW01,3,2026,0.3466789229391492
REGION1,INFLOW01,4,2026,0.3431259222873303
REGION1,INFLOW01,5,2026,0.3426012314344719
REGION1,INFLOW01,6,2026,0.3412381195845609
REGION1,INFLOW01,7,2026,0.3407973915644017
REGION1,INFLOW01,8,2026,0.3384393371538855
REGION1,INFLOW01,9,2026,0.3356684813724622
REGION1,INFLOW01,10,2026,0.3321709210400696
REGION1,INFLOW01,11,2026,0.3349326162712744
REGION1,INFLOW01,12,2026,0.3341480790161827
REGION1,INFLOW01,13,2026,0.3534913537710646
REGION1,INFLOW01,14,2026,0.3531781579810054
REGION1,INFLOW01,15,2026,0.3348397015771438
REGION1,INFLOW01,16,2026,0.3408587238096153
REGION1,INFLOW01,17,2026,0.32342285095888
REGION1,INFLOW01,18,2026,0.278680506072704
REGION1,INFLOW01,19,2026,0.1830849507888691
REGION1,INFLOW01,20,2026,0.194332923945326
REGION1,INFLOW01,21,2026,0.2085560909332129
REGION1,INFLOW01,22,2026,0.2044990049841596
REGION1,INFLOW01,23,2026,0.1942865257507355
REGION1,INFLOW01,24,2026,0.1899025096021168
REGION1,INFLOW01,1,2027,0.3471608387302253
REGION1,INFLOW01,2,2027,0.3474527380703203
REGION1,INFLOW01,3,2027,0.3466789229391492
REGION1,INFLOW01,4,2027,0.3431259222873303
REGION1,INFLOW01,5,2027,0.3426012314344719
REGION1,INFLOW01,6,2027,0.3412381195845609
REGION1,INFLOW01,7,2027,0.3407973915644017
REGION1,INFLOW01,8,2027,0.3384393371538855
REGION1,INFLOW01,9,2027,0.3356684813724622
REGION1,INFLOW01,10,2027,0.3321709210400696
REGION1,INFLOW01,11,2027,0.3349326162712744
REGION1,INFLOW01,12,2027,0.3341480790161827
REGION1,INFLOW01,13,2027,0.3534913537710646
REGION1,INFLOW01,14,2027,0.3531781579810054
REGION1,INFLOW01,15,2027,0.3348397015771438
REGION1,INFLOW01,16,2027,0.3408587238096153
REGION1,INFLOW01,17,2027,0.32342285095888
REGION1,INFLOW01,18,2027,0.278680506072704
REGION1,INFLOW01,19,2027,0.1830849507888691
REGION1,INFLOW01,20,2027,0.194332923945326
REGION1,INFLOW01,21,2027,0.2085560909332129
REGION1,INFLOW01,22,2027,0.2044990049841596
REGION1,INFLOW01,23,2027,0.1942865257507355
REGION1,INFLOW01,24,2027,0.1899025096021168
REGION1,INFLOW01,1,2028,0.3471608387302253
REGION1,INFLOW01,2,2028,0.3474527380703203
REGION1,INFLOW01,3,2028,0.3466789229391492
REGION1,INFLOW01,4,2028,0.3431259222873303
REGION1,INFLOW01,5,2028,0.3426012314344719
REGION1,INFLOW01,6,2028,0.3412381195845609
REGION1,INFLOW01,7,2028,0.3407973915644017
REGION1,INFLOW01,8,2028,0.3384393371538855
REGION1,INFLOW01,9,2028,0.3356684813724622
REGION1,INFLOW01,10,2028,0.3321709210400696
REGION1,INFLOW01,11,2028,0.3349326162712744
REGION1,INFLOW01,12,2028,0.3341480790161827
REGION1,INFLOW01,13,2028,0.3534913537710646
REGION1,INFLOW01,14,2028,0.3531781579810054
REGION1,INFLOW01,15,2028,0.3348397015771438
REGION1,INFLOW01,16,2028,0.3408587238096153
REGION1,INFLOW01,17,2028,0.32342285095888
REGION1,INFLOW01,18,2028,0.278680506072704
REGION1,INFLOW01,19,2028,0.1830849507888691
REGION1,INFLOW01,20,2028,0.194332923945326
REGION1,INFLOW01,21,2028,0.2085560909332129
REGION1,INFLOW01,22,2028,0.2044990049841596
REGION1,INFLOW01,23,2028,0.1942865257507355
REGION1,INFLOW01,24,2028,0.1899025096021168
REGION1,INFLOW01,1,2029,0.3471608387302253
REGION1,INFLOW01,2,2029,0.3474527380703203
REGION1,INFLOW01,3,2029,0.3466789229391492
REGION1,INFLOW01,4,2029,0.3431259222873303
REGION1,INFLOW01,5,2029,0.3426012314344719
REGION1,INFLOW01,6,2029,0.3412381195845609
REGION1,INFLOW01,7,2029,0.3407973915644017
REGION1,INFLOW01,8,2029,0.3384393371538855
REGION1,INFLOW01,9,2029,0.3356684813724622
REGION1,INFLOW01,10,2029,0.3321709210400696
REGION1,INFLOW01,11,2029,0.3349326162712744
REGION1,INFLOW01,12,2029,0.3341480790161827
REGION1,INFLOW01,13,2029,0.3534913537710646
REGION1,INFLOW01,14,2029,0.3531781579810054
REGION1,INFLOW01,15,2029,0.3348397015771438
REGION1,INFLOW01,16,2029,0.3408587238096153
REGION1,INFLOW01,17,2029,0.32342285095888
REGION1,INFLOW01,18,2029,0.278680506072704
REGION1,INFLOW01,19,2029,0.1830849507888691
REGION1,INFLOW01,20,2029,0.194332923945326
REGION1,INFLOW01,21,2029,0.2085560909332129
REGION1,INFLOW01,22,2029,0.2044990049841596
REGION1,INFLOW01,23,2029,0.1942865257507355
REGION1,INFLOW01,24,2029,0.1899025096021168
REGION1,INFLOW01,1,2030,0.3471608387302253
REGION1,INFLOW01,2,2030,0.3474527380703203
REGION1,INFLOW01,3,2030,0.3466789229391492
REGION1,INFLOW01,4,2030,0.3431259222873303
REGION1,INFLOW01,5,2030,0.3426012314344719
REGION1,INFLOW01,6,2030,0.3412381195845609
REGION1,INFLOW01,7,2030,0.3407973915644017
REGION1,INFLOW01,8,2030,0.3384393371538855
REGION1,INFLOW01,9,2030,0.3356684813724622
REGION1,INFLOW01,10,2030,0.3321709210400696
REGION1,INFLOW01,11,2030,0.3349326162712744
REGION1,INFLOW01,12,2030,0.3341480790161827
REGION1,INFLOW01,13,2030,0.3534913537710646
REGION1,INFLOW01,14,2030,0.3531781579810054
REGION1,INFLOW01,15,2030,0.3348397015771438
REGION1,INFLOW01,16,2030,0.3408587238096153
REGION1,INFLOW01,17,2030,0.32342285095888
REGION1,INFLOW01,18,2030,0.278680506072704
REGION1,INFLOW01,19,2030,0.1830849507888691
REGION1,INFLOW01,20,2030,0.194332923945326
REGION1,INFLOW01,21,2030,0.2085560909332129
REGION1,INFLOW01,22,2030,0.2044990049841596
REGION1,INFLOW01,23,2030,0.1942865257507355
REGION1,INFLOW01,24,2030,0.1899025096021168
REGION1,INFLOW01,1,2031,0.3471608387302253
REGION1,INFLOW01,2,2031,0.3474527380703203
REGION1,INFLOW01,3,2031,0.3466789229391492
REGION1,INFLOW01,4,2031,0.3431259222873303
REGION1,INFLOW01,5,2031,0.3426012314344719
REGION1,INFLOW01,6,2031,0.3412381195845609
REGION1,INFLOW01,7,2031,0.3407973915644017
REGION1,INFLOW01,8,2031,0.3384393371538855
REGION1,INFLOW01,9,2031,0.3356684813724622
REGION1,INFLOW01,10,2031,0.3321709210400696
REGION1,INFLOW01,11,2031,0.3349326162712744
REGION1,INFLOW01,12,2031,0.3341480790161827
REGION1,INFLOW01,13,2031,0.3534913537710646
REGION1,INFLOW01,14,2031,0.3531781579810054
REGION1,INFLOW01,15,2031,0.3348397015771438
REGION1,INFLOW01,16,2031,0.3408587238096153
REGION1,INFLOW01,17,2031,0.32342285095888
REGION1,INFLOW01,18,2031,0.278680506072704
REGION1,INFLOW01,19,2031,0.1830849507888691
REGION1,INFLOW01,20,2031,0.194332923945326
REGION1,INFLOW01,21,2031,0.2085560909332129
REGION1,INFLOW01,22,2031,0.2044990049841596
REGION1,INFLOW01,23,2031,0.1942865257507355
REGION1,INFLOW01,24,2031,0.1899025096021168
REGION1,INFLOW01,1,2032,0.3471608387302253
REGION1,INFLOW01,2,2032,0.3474527380703203
REGION1,INFLOW01,3,2032,0.3466789229391492
REGION1,INFLOW01,4,2032,0.3431259222873303
REGION1,INFLOW01,5,2032,0.3426012314344719
REGION1,INFLOW01,6,2032,0.3412381195845609
REGION1,INFLOW01,7,2032,0.3407973915644017
REGION1,INFLOW01,8,2032,0.3384393371538855
REGION1,INFLOW01,9,2032,0.3356684813724622
REGION1,INFLOW01,10,2032,0.3321709210400696
REGION1,INFLOW01,11,2032,0.3349326162712744
REGION1,INFLOW01,12,2032,0.3341480790161827
REGION1,INFLOW01,13,2032,0.3534913537710646
REGION1,INFLOW01,14,2032,0.3531781579810054
REGION1,INFLOW01,15,2032,0.3348397015771438
REGION1,INFLOW01,16,2032,0.3408587238096153
REGION1,INFLOW01,17,2032,0.32342285095888
REGION1,INFLOW01,18,2032,0.278680506072704
REGION1,INFLOW01,19,2032,0.1830849507888691
REGION1,INFLOW01,20,2032,0.194332923945326
REGION1,INFLOW01,21,2032,0.2085560909332129
REGION1,INFLOW01,22,2032,0.2044990049841596
REGION1,INFLOW01,23,2032,0.1942865257507355
REGION1,INFLOW01,24,2032,0.1899025096021168
REGION1,INFLOW01,1,2033,0.3471608387302253
REGION1,INFLOW01,2,2033,0.3474527380703203
REGION1,INFLOW01,3,2033,0.3466789229391492
REGION1,INFLOW01,4,2033,0.3431259222873303
REGION1,INFLOW01,5,2033,0.3426012314344719
REGION1,INFLOW01,6,2033,0.3412381195845609
REGION1,INFLOW01,7,2033,0.3407973915644017
REGION1,INFLOW01,8,2033,0.3384393371538855
REGION1,INFLOW01,9,2033,0.3356684813724622
REGION1,INFLOW01,10,2033,0.3321709210400696
REGION1,INFLOW01,11,2033,0.3349326162712744
REGION1,INFLOW01,12,2033,0.3341480790161827
REGION1,INFLOW01,13,2033,0.3534913537710646
REGION1,INFLOW01,14,2033,0.3531781579810054
REGION1,INFLOW01,15,2033,0.3348397015771438
REGION1,INFLOW01,16,2033,0.3408587238096153
REGION1,INFLOW01,17,2033,0.32342285095888
REGION1,INFLOW01,18,2033,0.278680506072704
REGION1,INFLOW01,19,2033,0.1830849507888691
REGION1,INFLOW01,20,2033,0.194332923945326
REGION1,INFLOW01,21,2033,0.2085560909332129
REGION1,INFLOW01,22,2033,0.2044990049841596
REGION1,INFLOW01,23,2033,0.1942865257507355
REGION1,INFLOW01,24,2033,0.1899025096021168
REGION1,INFLOW01,1,2034,0.3471608387302253
REGION1,INFLOW01,2,2034,0.3474527380703203
REGION1,INFLOW01,3,2034,0.3466789229391492
REGION1,INFLOW01,4,2034,0.3431259222873303
REGION1,INFLOW01,5,2034,0.3426012314344719
REGION1,INFLOW01,6,2034,0.3412381195845609
REGION1,INFLOW01,7,2034,0.3407973915644017
REGION1,INFLOW01,8,2034,0.3384393371538855
REGION1,INFLOW01,9,2034,0.3356684813724622
REGION1,INFLOW01,10,2034,0.3321709210400696
REGION1,INFLOW01,11,2034,0.3349326162712744
REGION1,INFLOW01,12,2034,0.3341480790161827
REGION1,INFLOW01,13,2034,0.3534913537710646
REGION1,INFLOW01,14,2034,0.3531781579810054
REGION1,INFLOW01,15,2034,0.3348397015771438
REGION1,INFLOW01,16,2034,0.3408587238096153
REGION1,INFLOW01,17,2034,0.32342285095888
REGION1,INFLOW01,18,2034,0.278680506072704
REGION1,INFLOW01,19,2034,0.1830849507888691
REGION1,INFLOW01,20,2034,0.194332923945326
REGION1,INFLOW01,21,2034,0.2085560909332129
REGION1,INFLOW01,22,2034,0.2044990049841596
REGION1,INFLOW01,23,2034,0.1942865257507355
REGION1,INFLOW01,24,2034,0.1899025096021168
REGION1,INFLOW01,1,2035,0.3471608387302253
REGION1,INFLOW01,2,2035,0.3474527380703203
REGION1,INFLOW01,3,2035,0.3466789229391492
REGION1,INFLOW01,4,2035,0.3431259222873303
REGION1,INFLOW01,5,2035,0.3426012314344719
REGION1,INFLOW01,6,2035,0.3412381195845609
REGION1,INFLOW01,7,2035,0.3407973915644017
REGION1,INFLOW01,8,2035,0.3384393371538855
REGION1,INFLOW01,9,2035,0.3356684813724622
REGION1,INFLOW01,10,2035,0.3321709210400696
REGION1,INFLOW01,11,2035,0.3349326162712744
REGION1,INFLOW01,12,2035,0.3341480790161827
REGION1,INFLOW01,13,2035,0.3534913537710646
REGION1,INFLOW01,14,2035,0.3531781579810054
REGION1,INFLOW01,15,2035,0.3348397015771438
REGION1,INFLOW01,16,2035,0.3408587238096153
REGION1,INFLOW01,17,2035,0.32342285095888
REGION1,INFLOW01,18,2035,0.278680506072704
REGION1,INFLOW01,19,2035,0.1830849507888691
REGION1,INFLOW01,20,2035,0.194332923945326
REGION1,INFLOW01,21,2035,0.2085560909332129
REGION1,INFLOW01,22,2035,0.2044990049841596
REGION1,INFLOW01,23,2035,0.1942865257507355
REGION1,INFLOW01,24,2035,0.1899025096021168
REGION1,INFLOW01,1,2036,0.3471608387302253
REGION1,INFLOW01,2,2036,0.3474527380703203
REGION1,INFLOW01,3,2036,0.3466789229391492
REGION1,INFLOW01,4,2036,0.3431259222873303
REGION1,INFLOW01,5,2036,0.3426012314344719
REGION1,INFLOW01,6,2036,0.3412381195845609
REGION1,INFLOW01,7,2036,0.3407973915644017
REGION1,INFLOW01,8,2036,0.3384393371538855
REGION1,INFLOW01,9,2036,0.3356684813724622
REGION1,INFLOW01,10,2036,0.3321709210400696
REGION1,INFLOW01,11,2036,0.3349326162712744
REGION1,INFLOW01,12,2036,0.3341480790161827
REGION1,INFLOW01,13,2036,0.3534913537710646
REGION1,INFLOW01,14,2036,0.3531781579810054
REGION1,INFLOW01,15,2036,0.3348397015771438
REGION1,INFLOW01,16,2036,0.3408587238096153
REGION1,INFLOW01,17,2036,0.32342285095888
REGION1,INFLOW01,18,2036,0.278680506072704
REGION1,INFLOW01,19,2036,0.1830849507888691
REGION1,INFLOW01,20,2036,0.194332923945326
REGION1,INFLOW01,21,2036,0.2085560909332129
REGION1,INFLOW01,22,2036,0.2044990049841596
REGION1,INFLOW01,23,2036,0.1942865257507355
REGION1,INFLOW01,24,2036,0.1899025096021168
REGION1,INFLOW01,1,2037,0.3471608387302253
REGION1,INFLOW01,2,2037,0.3474527380703203
REGION1,INFLOW01,3,2037,0.3466789229391492
REGION1,INFLOW01,4,2037,0.3431259222873303
REGION1,INFLOW01,5,2037,0.3426012314344719
REGION1,INFLOW01,6,2037,0.3412381195845609
REGION1,INFLOW01,7,2037,0.3407973915644017
REGION1,INFLOW01,8,2037,0.3384393371538855
REGION1,INFLOW01,9,2037,0.3356684813724622
REGION1,INFLOW01,10,2037,0.3321709210400696
REGION1,INFLOW01,11,2037,0.3349326162712744
REGION1,INFLOW01,12,2037,0.3341480790161827
REGION1,INFLOW01,13,2037,0.3534913537710646
REGION1,INFLOW01,14,2037,0.3531781579810054
REGION1,INFLOW01,15,2037,0.3348397015771438
REGION1,INFLOW01,16,2037,0.3408587238096153
REGION1,INFLOW01,17,2037,0.32342285095888
REGION1,INFLOW01,18,2037,0.278680506072704
REGION1,INFLOW01,19,2037,0.1830849507888691
REGION1,INFLOW01,20,2037,0.194332923945326
REGION1,INFLOW01,21,2037,0.2085560909332129
REGION1,INFLOW01,22,2037,0.2044990049841596
REGION1,INFLOW01,23,2037,0.1942865257507355
REGION1,INFLOW01,24,2037,0.1899025096021168
REGION1,INFLOW01,1,2038,0.3471608387302253
REGION1,INFLOW01,2,2038,0.3474527380703203
REGION1,INFLOW01,3,2038,0.3466789229391492
REGION1,INFLOW01,4,2038,0.3431259222873303
REGION1,INFLOW01,5,2038,0.3426012314344719
REGION1,INFLOW01,6,2038,0.3412381195845609
REGION1,INFLOW01,7,2038,0.3407973915644017
REGION1,INFLOW01,8,2038,0.3384393371538855
REGION1,INFLOW01,9,2038,0.3356684813724622
REGION1,INFLOW01,10,2038,0.3321709210400696
REGION1,INFLOW01,11,2038,0.3349326162712744
REGION1,INFLOW01,12,2038,0.3341480790161827
REGION1,INFLOW01,13,2038,0.3534913537710646
REGION1,INFLOW01,14,2038,0.3531781579810054
REGION1,INFLOW01,15,2038,0.3348397015771438
REGION1,INFLOW01,16,2038,0.3408587238096153
REGION1,INFLOW01,17,2038,0.32342285095888
REGION1,INFLOW01,18,2038,0.278680506072704
REGION1,INFLOW01,19,2038,0.1830849507888691
REGION1,INFLOW01,20,2038,0.194332923945326
REGION1,INFLOW01,21,2038,0.2085560909332129
REGION1,INFLOW01,22,2038,0.2044990049841596
REGION1,INFLOW01,23,2038,0.1942865257507355
REGION1,INFLOW01,24,2038,0.1899025096021168
REGION1,INFLOW01,1,2039,0.3471608387302253
REGION1,INFLOW01,2,2039,0.3474527380703203
REGION1,INFLOW01,3,2039,0.3466789229391492
REGION1,INFLOW01,4,2039,0.3431259222873303
REGION1,INFLOW01,5,2039,0.3426012314344719
REGION1,INFLOW01,6,2039,0.3412381195845609
REGION1,INFLOW01,7,2039,0.3407973915644017
REGION1,INFLOW01,8,2039,0.3384393371538855
REGION1,INFLOW01,9,2039,0.3356684813724622
REGION1,INFLOW01,10,2039,0.3321709210400696
REGION1,INFLOW01,11,2039,0.3349326162712744
REGION1,INFLOW01,12,2039,0.3341480790161827
REGION1,INFLOW01,13,2039,0.3534913537710646
REGION1,INFLOW01,14,2039,0.3531781579810054
REGION1,INFLOW01,15,2039,0.3348397015771438
REGION1,INFLOW01,16,2039,0.3408587238096153
REGION1,INFLOW01,17,2039,0.32342285095888
REGION1,INFLOW01,18,2039,0.278680506072704
REGION1,INFLOW01,19,2039,0.1830849507888691
REGION1,INFLOW01,20,2039,0.194332923945326
REGION1,INFLOW01,21,2039,0.2085560909332129
REGION1,INFLOW01,22,2039,0.2044990049841596
REGION1,INFLOW01,23,2039,0.1942865257507355
REGION1,INFLOW01,24,2039,0.1899025096021168
REGION1,INFLOW01,1,2040,0.3471608387302253
REGION1,INFLOW01,2,2040,0.3474527380703203
REGION1,INFLOW01,3,2040,0.3466789229391492
REGION1,INFLOW01,4,2040,0.3431259222873303
REGION1,INFLOW01,5,2040,0.3426012314344719
REGION1,INFLOW01,6,2040,0.3412381195845609
REGION1,INFLOW01,7,2040,0.3407973915644017
REGION1,INFLOW01,8,2040,0.3384393371538855
REGION1,INFLOW01,9,2040,0.3356684813724622
REGION1,INFLOW01,10,2040,0.3321709210400696
REGION1,INFLOW01,11,2040,0.3349326162712744
REGION1,INFLOW01,12,2040,0.3341480790161827
REGION1,INFLOW01,13,2040,0.3534913537710646
REGION1,INFLOW01,14,2040,0.3531781579810054
REGION1,INFLOW01,15,2040,0.3348397015771438
REGION1,INFLOW01,16,2040,0.3408587238096153
REGION1,INFLOW01,17,2040,0.32342285095888
REGION1,INFLOW01,18,2040,0.278680506072704
REGION1,INFLOW01,19,2040,0.1830849507888691
REGION1,INFLOW01,20,2040,0.194332923945326
REGION1,INFLOW01,21,2040,0.2085560909332129
REGION1,INFLOW01,22,2040,0.2044990049841596
REGION1,INFLOW01,23,2040,0.1942865257507355
REGION1,INFLOW01,24,2040,0.1899025096021168
REGION1,INFLOW01,1,2041,0.3471608387302253
REGION1,INFLOW01,2,2041,0.3474527380703203
REGION1,INFLOW01,3,2041,0.3466789229391492
REGION1,INFLOW01,4,2041,0.3431259222873303
REGION1,INFLOW01,5,2041,0.3426012314344719
REGION1,INFLOW01,6,2041,0.3412381195845609
REGION1,INFLOW01,7,2041,0.3407973915644017
REGION1,INFLOW01,8,2041,0.3384393371538855
REGION1,INFLOW01,9,2041,0.3356684813724622
REGION1,INFLOW01,10,2041,0.3321709210400696
REGION1,INFLOW01,11,2041,0.3349326162712744
REGION1,INFLOW01,12,2041,0.3341480790161827
REGION1,INFLOW01,13,2041,0.3534913537710646
REGION1,INFLOW01,14,2041,0.3531781579810054
REGION1,INFLOW01,15,2041,0.3348397015771438
REGION1,INFLOW01,16,2041,0.3408587238096153
REGION1,INFLOW01,17,2041,0.32342285095888
REGION1,INFLOW01,18,2041,0.278680506072704
REGION1,INFLOW01,19,2041,0.1830849507888691
REGION1,INFLOW01,20,2041,0.194332923945326
REGION1,INFLOW01,21,2041,0.2085560909332129
REGION1,INFLOW01,22,2041,0.2044990049841596
REGION1,INFLOW01,23,2041,0.1942865257507355
REGION1,INFLOW01,24,2041,0.1899025096021168
REGION1,INFLOW01,1,2042,0.3471608387302253
REGION1,INFLOW01,2,2042,0.3474527380703203
REGION1,INFLOW01,3,2042,0.3466789229391492
REGION1,INFLOW01,4,2042,0.3431259222873303
REGION1,INFLOW01,5,2042,0.3426012314344719
REGION1,INFLOW01,6,2042,0.3412381195845609
REGION1,INFLOW01,7,2042,0.3407973915644017
REGION1,INFLOW01,8,2042,0.3384393371538855
REGION1,INFLOW01,9,2042,0.3356684813724622
REGION1,INFLOW01,10,2042,0.3321709210400696
REGION1,INFLOW01,11,2042,0.3349326162712744
REGION1,INFLOW01,12,2042,0.3341480790161827
REGION1,INFLOW01,13,2042,0.3534913537710646
REGION1,INFLOW01,14,2042,0.3531781579810054
REGION1,INFLOW01,15,2042,0.3348397015771438
REGION1,INFLOW01,16,2042,0.3408587238096153
REGION1,INFLOW01,17,2042,0.32342285095888
REGION1,INFLOW01,18,2042,0.278680506072704
REGION1,INFLOW01,19,2042,0.1830849507888691
REGION1,INFLOW01,20,2042,0.194332923945326
REGION1,INFLOW01,21,2042,0.2085560909332129
REGION1,INFLOW01,22,2042,0.2044990049841596
REGION1,INFLOW01,23,2042,0.1942865257507355
REGION1,INFLOW01,24,2042,0.1899025096021168
REGION1,INFLOW01,1,2043,0.3471608387302253
REGION1,INFLOW01,2,2043,0.3474527380703203
REGION1,INFLOW01,3,2043,0.3466789229391492
REGION1,INFLOW01,4,2043,0.3431259222873303
REGION1,INFLOW01,5,2043,0.3426012314344719
REGION1,INFLOW01,6,2043,0.3412381195845609
REGION1,INFLOW01,7,2043,0.3407973915644017
REGION1,INFLOW01,8,2043,0.3384393371538855
REGION1,INFLOW01,9,2043,0.3356684813724622
REGION1,INFLOW01,10,2043,0.3321709210400696
